iter	Passed	Remaining
418	3586	693
419	3595	684
420	3604	676
421	3613	667
422	3617	658
423	3624	649
424	3632	641
425	3642	632
426	3651	624
427	3660	615
428	3669	607
429	3679	598
430	3690	590
431	3699	582
432	3709	573
433	3719	565
434	3724	556
435	3732	547
436	3741	539
437	3749	530
438	3757	522
439	3766	513
440	3774	504
441	3783	496
442	3791	487
443	3800	479
444	3809	470
445	3827	463
446	3836	454
447	3845	446
448	3854	437
449	3863	429
450	3873	420
451	3883	412
452	3893	403
453	3902	395
454	3911	386
455	3919	378
456	3924	369
457	3932	360
458	3939	351
459	3948	343
460	3956	334
461	3964	326
462	3972	317
463	3980	308
464	3988	300
465	3996	291
466	4004	283
467	4014	274
468	4022	265
469	4031	257
470	4039	248
471	4048	240
472	4056	231
473	4064	222
474	4072	214
475	4080	205
476	4089	197
477	4097	188
478	4106	180
479	4114	171
480	4122	162
481	4131	154
482	4139	145
483	4147	137
484	4156	128
485	4164	119
486	4172	111
487	4181	102
488	4189	94
489	4197	85
490	4206	77
491	4214	68
492	4223	59
493	4231	51
494	4240	42
495	4249	34
496	4257	25
497	4265	17
498	4273	8
499	4281	0
