iter	RMSE
242	25.93506576
243	25.88646859
244	25.8675681
245	25.83605196
246	25.82941494
247	25.81717533
248	25.80288471
249	25.80122299
250	25.78873937
251	25.77328655
252	25.76846601
253	25.74165164
254	25.73257929
255	25.72772224
256	25.68996128
257	25.68743545
258	25.65133699
259	25.62051895
260	25.61945029
261	25.57564661
262	25.56473653
263	25.52241265
264	25.51053947
265	25.48413375
266	25.44216298
267	25.4343265
268	25.42842112
269	25.42532765
270	25.40165277
271	25.39783901
272	25.37365678
273	25.34263572
274	25.31398707
275	25.25625039
276	25.22624488
277	25.20328666
278	25.1685191
279	25.16456884
280	25.14937476
281	25.13478483
282	25.11991638
283	25.11867532
284	25.10207232
285	25.0770277
286	25.03946197
287	25.03039918
288	25.01066824
289	24.97536446
290	24.96664442
291	24.95391272
292	24.90142851
293	24.89666462
294	24.87774185
295	24.84486952
296	24.842324
297	24.83401417
298	24.81589293
299	24.79162267
300	24.7866906
301	24.76389253
302	24.74474873
303	24.72379717
304	24.70420013
305	24.67322408
306	24.65325837
307	24.63790088
308	24.62803587
309	24.57806675
310	24.55087966
311	24.53660587
312	24.50689237
313	24.49501563
314	24.48308463
315	24.45472386
316	24.42726424
317	24.4164521
318	24.39668011
319	24.39387765
320	24.39011696
321	24.36498722
322	24.34741726
323	24.34218617
324	24.30058043
325	24.29544051
326	24.28243935
327	24.26748739
328	24.26178403
329	24.2417772
330	24.22313845
331	24.18786113
332	24.17300636
333	24.17185267
334	24.135885
335	24.11613046
336	24.10325367
337	24.10014181
338	24.08729614
339	24.08701982
340	24.075183
341	24.07344972
342	24.06738928
343	24.04527895
344	24.03032385
345	24.00368822
346	23.98390539
347	23.96946235
348	23.96244673
349	23.93677998
350	23.90222521
351	23.89049711
352	23.88324154
353	23.88280082
354	23.86693438
355	23.8563573
356	23.84165158
357	23.83033863
358	23.82880721
359	23.82753861
360	23.81067308
361	23.7905773
362	23.7888953
363	23.77060397
364	23.75650243
365	23.74307435
366	23.70587768
367	23.70257976
368	23.69762742
369	23.68571707
370	23.67734658
371	23.65472761
372	23.62476953
373	23.57258059
374	23.57022115
375	23.57001597
376	23.56705837
377	23.56150515
378	23.51769624
379	23.50191133
380	23.49732969
381	23.48664065
382	23.46616673
383	23.45226026
384	23.42879388
385	23.40249728
386	23.3908138
387	23.36834863
388	23.33955824
389	23.33833193
390	23.3217677
391	23.31038937
392	23.30656239
393	23.28757798
394	23.26776107
395	23.24966737
396	23.24202218
397	23.230452
398	23.21300515
399	23.19797144
400	23.15773802
401	23.11438543
402	23.10388267
403	23.08742332
404	23.08560189
405	23.06900476
406	23.06753756
407	23.05479419
408	23.04489111
409	23.04026207
410	23.02812074
411	23.01872668
412	23.01442963
413	23.0128093
414	23.00823447
415	22.97806956
416	22.94384673
417	22.93037666
418	22.92243422
419	22.91285732
420	22.89315014
421	22.86499001
422	22.86480167
423	22.85291482
424	22.82420787
425	22.80964831
426	22.79327015
427	22.76526075
428	22.7545308
429	22.73911514
430	22.7336078
431	22.71951687
432	22.70635857
433	22.67628321
434	22.67536311
435	22.66351939
436	22.65202777
437	22.637286
438	22.63103822
439	22.61510944
440	22.58981613
441	22.57276236
442	22.56703829
443	22.54281468
444	22.53760166
445	22.52341945
446	22.51675596
447	22.50831632
448	22.49269244
449	22.48770224
450	22.47990028
451	22.46802472
452	22.45300202
453	22.43781262
454	22.43311994
455	22.42270935
456	22.42220247
457	22.41850769
458	22.41228431
459	22.40519225
460	22.3951999
461	22.38726458
462	22.38283299
463	22.37749646
464	22.37064683
465	22.35430966
466	22.33537583
467	22.31914191
468	22.30123971
469	22.29733964
470	22.28585957
471	22.28365574
472	22.27891733
473	22.27289308
474	22.27025773
475	22.2556133
476	22.23331637
477	22.22118786
478	22.20698358
479	22.19394096
480	22.1896065
481	22.18361542
482	22.17821508
483	22.16566642
484	22.16338002
485	22.14996883
486	22.13832853
487	22.13344651
488	22.12451285
489	22.12032013
490	22.11790374
491	22.11043922
492	22.10282444
493	22.09485466
494	22.07647297
495	22.06884011
496	22.06460837
497	22.06226291
498	22.04680004
499	22.03489339
