iter	RMSE
0	75.87546014
1	73.70502953
2	71.62442161
3	69.65106534
4	67.79431724
5	66.04926466
6	64.3758856
7	62.84536482
8	61.36273628
9	59.96904238
10	58.66008668
11	57.41029067
12	56.22411733
13	55.17869042
14	54.13631987
15	53.14088455
16	52.17748077
17	51.2670945
18	50.41454275
19	49.6356241
20	48.86080397
21	48.13874747
22	47.42732987
23	46.81200876
24	46.18246621
25	45.60403447
26	45.0641138
27	44.52073669
28	43.99860867
29	43.42971293
30	42.97778926
31	42.57903702
32	42.1170918
33	41.71337941
34	41.3461303
35	40.98733174
36	40.67543473
37	40.35813229
38	40.05342683
39	39.73198168
40	39.43555171
41	39.18839311
42	38.9065363
43	38.62869997
44	38.36208494
45	38.11871583
46	37.90463531
47	37.70299652
48	37.51288538
49	37.256157
50	37.08420542
51	36.86221538
52	36.65978099
53	36.50563821
54	36.32506862
55	36.15604664
56	35.99649171
57	35.85109678
58	35.71429819
59	35.54948969
60	35.43659614
61	35.29245464
62	35.17315281
63	35.02995863
64	34.87402866
65	34.79283631
66	34.68105274
67	34.58464209
68	34.46998924
69	34.37336138
70	34.27455307
71	34.17783077
72	34.10118095
73	34.03623001
74	33.95193831
75	33.86797993
76	33.81784516
77	33.74381684
78	33.57023846
79	33.49292291
80	33.34230977
81	33.27978847
82	33.20535517
83	33.12039469
84	33.06702479
85	32.95465833
86	32.85853906
87	32.76435023
88	32.68654756
89	32.60786198
90	32.53564606
91	32.48176466
92	32.4175603
93	32.36136609
94	32.32382815
95	32.26673387
96	32.21450448
97	32.15755674
98	32.03986942
99	31.99014214
100	31.94685506
101	31.90702918
102	31.84725746
103	31.71682044
104	31.6574778
105	31.61793143
106	31.56360006
107	31.47920156
108	31.42237151
109	31.37758364
110	31.32679833
111	31.27340744
112	31.23970905
113	31.18821656
114	31.15653587
115	31.07921217
116	31.03863131
117	31.02906846
118	30.9894269
119	30.90326142
120	30.81192605
121	30.72219225
122	30.6555991
123	30.56500649
124	30.5381174
125	30.43519633
126	30.39120875
127	30.34733513
128	30.30624669
129	30.27943938
130	30.2055543
131	30.13484051
132	30.08135168
133	30.02934372
134	30.00444524
135	29.97382893
136	29.93976177
137	29.90164159
138	29.88272905
139	29.83044246
140	29.73727797
141	29.64804268
142	29.61712854
143	29.54770371
144	29.45310235
145	29.41234964
146	29.38584984
147	29.33798503
148	29.26827111
149	29.24519163
150	29.18107756
151	29.14423958
152	29.08636284
153	29.07526363
154	28.98023503
155	28.91194777
156	28.88223913
157	28.86172659
158	28.81438604
159	28.78321726
160	28.73563031
161	28.68812334
162	28.64031779
163	28.58148175
164	28.5555462
165	28.51320262
166	28.48702088
167	28.40210128
168	28.3787252
169	28.36259857
170	28.28270071
171	28.19571078
172	28.12069904
173	28.10749585
174	28.07747625
175	28.05770367
176	28.02845183
177	28.01419129
178	28.00626218
179	27.99269063
180	27.95686682
181	27.93229179
182	27.92865895
183	27.88861395
184	27.86701171
185	27.82450823
186	27.77700509
187	27.74739788
188	27.69884652
189	27.66445553
190	27.60389076
191	27.5855058
192	27.4987739
193	27.42399648
194	27.41536632
195	27.39791329
196	27.32816957
197	27.28527612
198	27.24340462
199	27.21687559
200	27.18974655
201	27.14488361
202	27.12357029
203	27.07476285
204	27.0298913
205	27.0220592
206	27.01205972
207	26.99335586
208	26.96751615
209	26.94867887
210	26.92121153
211	26.88014797
212	26.82153556
213	26.78913845
214	26.77456026
215	26.74610171
216	26.7286132
217	26.72285183
218	26.70474397
219	26.69866685
220	26.64388344
221	26.62638819
222	26.59521636
223	26.57284808
224	26.5610742
225	26.5203556
226	26.46901578
227	26.44754037
228	26.41203876
229	26.38485006
230	26.3733257
231	26.32702141
232	26.32528984
233	26.30327805
234	26.28553475
235	26.26164398
236	26.22882852
237	26.20299467
238	26.12083687
239	26.06640028
240	26.0205918
241	25.94976154
